,src,dest,distance
50,,1: Block Diagram of proposed CNN LSTM hybrid architecture  3.1.,0.0239252
51,1: Block Diagram of proposed CNN LSTM hybrid architecture  3.1.,"Convolutional Neural Network  In our  work , we have limited the architecture to a single CNN layer, which consists of one convolution layer followed by a pooling layer.",0.52240866
52,,"This simplified structure is sufficient for this task, which helps  to reduce computational complexity.",0.11916325
53,"This simplified structure is sufficient for this task, which helps  to reduce computational complexity.","In the convolution layer, the input sensor data at a specific time instant is processed using one -dimensional convolutional kernels.",0.09205218
54,"This simplified structure is sufficient for this task, which helps  to reduce computational complexity.In the convolution layer, the input sensor data at a specific time instant is processed using one -dimensional convolutional kernels.",We apply 64 one dimensional convolution filters  and relu activation function .,0.5149014
55,,"In the pooling layer, we use one dimensional max pooling without overla pping, where the input feature maps are divided into non -overlapping regions, and for each sub -region, the maximum value is taken as the outpu t. 3.2.",0.2414861
56,"In the pooling layer, we use one dimensional max pooling without overla pping, where the input feature maps are divided into non -overlapping regions, and for each sub -region, the maximum value is taken as the outpu t. 3.2.",LSTM Model  LSTM cell uses memory cells and three gates  as shown in Fig.,0.065345064
57,"In the pooling layer, we use one dimensional max pooling without overla pping, where the input feature maps are divided into non -overlapping regions, and for each sub -region, the maximum value is taken as the outpu t. 3.2.LSTM Model  LSTM cell uses memory cells and three gates  as shown in Fig.",2.,0.029649436
58,"In the pooling layer, we use one dimensional max pooling without overla pping, where the input feature maps are divided into non -overlapping regions, and for each sub -region, the maximum value is taken as the outpu t. 3.2.LSTM Model  LSTM cell uses memory cells and three gates  as shown in Fig.2.",Fig.,-0.035309196
59,"In the pooling layer, we use one dimensional max pooling without overla pping, where the input feature maps are divided into non -overlapping regions, and for each sub -region, the maximum value is taken as the outpu t. 3.2.LSTM Model  LSTM cell uses memory cells and three gates  as shown in Fig.2.Fig.","2: LSTM Cell  The forget gate determines what information to discard, the input gate controls new information added, and the output gate manages how much of the cell state is used for output  as shown in Fig.",0.53350437
60,,2 .,0.035882175
61,2 .,Sensor Inputs  CNN Layer  Pooling Layer  LSTM Layer  Dense Layer  RUL Output,0.015786577
